Comment,Designator,Package,Quantity,LCSC
10uF,C1,0805_C,1,C15850
TPS62160DGKR,IC9,MSOP-8,1,C60726
100kΩ,R1,0805_R,1,C149504
2.2uH,L1,IND-SMD,1,C92941
220kΩ,R2,0805_R,1,C17539
47kΩ,R3,0805_R,1,C17713
22uF,C4,0805_C,1,C2835558
0.1uF,"C2,C3",0805_C,2,C49678
4k7Ω,"R4,R5,R11,R12,R13,R14",0805_R,2,C17673 
1k5Ω,"R6,R7,R15,R16,R17,R18",0805_R,2,C4310
1uF,"C5,C6,C7,C8,C9,C10",0805_C,2,C28323 
NCV8402ASTT1G,"IC1,IC2,IC10,IC11,IC12,IC13",SOT223,2,C77755
MCP2515-I/ST,"IC3,IC4,IC5",TSSOP-20,3,C15193
SN65HVD230,"IC6,IC7,IC8",SOIC-8,3,C12084
120Ω,"R8,R9,R10",0805_R,3,C17437
SS54,D1,SMB(DO-214AA),1,C880743